instant,dateday,season,year,month,holiday,weekday,workingday,weathersit,casual,registered,count
1,2011-01-01,Panas,0,Januari,0,Sabtu,0,Berkabut/Berawan,331,654,985
2,2011-01-02,Panas,0,Januari,0,Minggu,0,Berkabut/Berawan,131,670,801
3,2011-01-03,Panas,0,Januari,0,Senin,1,Cerah/Sebagian Berawan,120,1229,1349
4,2011-01-04,Panas,0,Januari,0,Selasa,1,Cerah/Sebagian Berawan,108,1454,1562
5,2011-01-05,Panas,0,Januari,0,Rabu,1,Cerah/Sebagian Berawan,82,1518,1600
6,2011-01-06,Panas,0,Januari,0,Kamis,1,Cerah/Sebagian Berawan,88,1518,1606
7,2011-01-07,Panas,0,Januari,0,Jumat,1,Berkabut/Berawan,148,1362,1510
8,2011-01-08,Panas,0,Januari,0,Sabtu,0,Berkabut/Berawan,68,891,959
9,2011-01-09,Panas,0,Januari,0,Minggu,0,Cerah/Sebagian Berawan,54,768,822
10,2011-01-10,Panas,0,Januari,0,Senin,1,Cerah/Sebagian Berawan,41,1280,1321
11,2011-01-11,Panas,0,Januari,0,Selasa,1,Berkabut/Berawan,43,1220,1263
12,2011-01-12,Panas,0,Januari,0,Rabu,1,Cerah/Sebagian Berawan,25,1137,1162
13,2011-01-13,Panas,0,Januari,0,Kamis,1,Cerah/Sebagian Berawan,38,1368,1406
14,2011-01-14,Panas,0,Januari,0,Jumat,1,Cerah/Sebagian Berawan,54,1367,1421
15,2011-01-15,Panas,0,Januari,0,Sabtu,0,Berkabut/Berawan,222,1026,1248
16,2011-01-16,Panas,0,Januari,0,Minggu,0,Cerah/Sebagian Berawan,251,953,1204
17,2011-01-17,Panas,0,Januari,1,Senin,0,Berkabut/Berawan,117,883,1000
18,2011-01-18,Panas,0,Januari,0,Selasa,1,Berkabut/Berawan,9,674,683
19,2011-01-19,Panas,0,Januari,0,Rabu,1,Berkabut/Berawan,78,1572,1650
20,2011-01-20,Panas,0,Januari,0,Kamis,1,Berkabut/Berawan,83,1844,1927
21,2011-01-21,Panas,0,Januari,0,Jumat,1,Cerah/Sebagian Berawan,75,1468,1543
22,2011-01-22,Panas,0,Januari,0,Sabtu,0,Cerah/Sebagian Berawan,93,888,981
23,2011-01-23,Panas,0,Januari,0,Minggu,0,Cerah/Sebagian Berawan,150,836,986
24,2011-01-24,Panas,0,Januari,0,Senin,1,Cerah/Sebagian Berawan,86,1330,1416
25,2011-01-25,Panas,0,Januari,0,Selasa,1,Berkabut/Berawan,186,1799,1985
26,2011-01-26,Panas,0,Januari,0,Rabu,1,Salju Ringan/Hujan,34,472,506
27,2011-01-27,Panas,0,Januari,0,Kamis,1,Cerah/Sebagian Berawan,15,416,431
28,2011-01-28,Panas,0,Januari,0,Jumat,1,Berkabut/Berawan,38,1129,1167
29,2011-01-29,Panas,0,Januari,0,Sabtu,0,Cerah/Sebagian Berawan,123,975,1098
30,2011-01-30,Panas,0,Januari,0,Minggu,0,Cerah/Sebagian Berawan,140,956,1096
31,2011-01-31,Panas,0,Januari,0,Senin,1,Berkabut/Berawan,42,1459,1501
32,2011-02-01,Panas,0,Februari,0,Selasa,1,Berkabut/Berawan,47,1313,1360
